Wavelength,Acoita,Aroeira_vermelha,Aroeira_braba,Inga,Pata_de_vaca
350,1.668789172,0.095508732,6.01486762,0.368329614,0.57065329
351,0.729425466,0.1000012,0.404067618,0.093268126,0.323317413
352,0.478465061,0.066667869,0.161507531,0.083384502,0.165272754
353,0.656038177,0.278697619,0.195255603,0.412856667,0.009490587
354,0.242097755,0.564954984,0.289825147,1.147509748,0.289824847
355,0.276257008,0.441769224,2.109235362,1.119449071,0.548035328
356,0.905230608,0.241451526,0.4000009,0.177608137,0.9931464
357,0.328326702,0.144884164,0.4000009,0.162063552,0.320956653
358,0.195575919,0.03151061,0.446060065,0.350667953,0.170556266
359,0.200000894,0.075969044,0.59153614,0.540153939,0.163535744
360,0.278522619,0.366589173,1.50E-06,0.125989574,0.051455841
361,0.323598199,0.327818371,0.677673292,0.051461214,0.040394839
362,0.428192934,0.001246417,1.20E-06,0.014159242,0.029331632
363,0.48313919,1.50E-06,0.002377821,1.50E-06,0.063353034
364,0.145116763,1.50E-06,0.124067636,0.095151263,1.50E-06
365,0.163535133,0.100233519,0.172612001,0.118600771,0.035391947
366,0.278307821,0.181859572,0.18778038,0.05741182,0.055579311
367,0.161625743,0.077383481,0.188004692,0.081978736,0.008864696
368,0.08030568,0.060479875,0.023102543,0.121930699,0.051979594
369,0.04365825,0.04941988,0.010307585,0.136663946,0.099068501
370,0.105817609,0.00402962,0.026354274,0.139472136,0.032239114
371,0.125112527,1.50E-06,1.50E-06,0.212596779,0.073983456
372,0.100358505,0.008719767,0.016957371,0.24004145,0.04781396
373,0.073985202,0.075920264,0.108475533,0.229598512,0.001971542
374,0.056332695,0.103976704,0.046279931,0.121832684,0.044979668
375,0.08334829,0.057099196,0.037696538,0.025377888,0.035796182
376,0.103250361,0.047112206,0.049868929,0.027163243,0.002859443
377,0.122239027,0.1223728,0.024430825,0.071266465,0.047575211
378,0.138980852,0.093023541,0.029176035,0.110130614,0.051898464
379,0.129387936,0.048176757,0.083462267,0.127979638,0.06433123
380,0.068676743,0.043312182,0.174445951,0.09569975,0.1275465
381,0.123014185,0.016035877,0.028352885,0.106440043,0.002280445
382,0.157142858,0.037508973,1.20E-06,0.097982582,0.005319592
383,0.155750129,0.087000815,0.001871618,0.075141762,0.043749661
384,0.115797181,0.118953141,0.052723492,0.037704654,0.082103391
385,0.051511296,0.050542455,0.043349286,0.052472128,0.081983608
386,0.025931396,0.001651647,0.017928201,0.073718654,0.065326246
387,0.09846928,0.012290197,0.010147338,0.05041758,0.047231702
388,0.125197853,0.032815109,0.023940122,0.067546006,0.022563591
389,0.112781651,0.059690766,0.035764499,0.0734155,0.0300009
390,0.052205142,0.072263113,0.043529946,0.035201057,0.0300009
391,0.067236613,0.086661948,0.029728244,0.036925497,0.03232915
392,0.079398003,0.08722518,0.010917737,0.060423701,0.039379621
393,0.085862697,0.060153463,0.000280119,0.10739269,0.038044583
394,0.034881438,0.067082201,0.034550973,0.063018785,0.035673955
395,0.055359984,0.045745604,0.037486767,0.053325164,0.043941001
396,0.100785045,0.031358565,0.020396544,0.061431301,0.053362553
397,0.105774657,0.024185606,0.051740903,0.046548872,0.036597462
398,0.07455332,0.057030876,0.056506884,0.047612713,0.023414638
399,0.053038341,0.072509544,0.035328063,0.061295501,0.017976943
400,0.083697206,0.032693777,0.002748632,0.09520631,0.025714312
401,0.069999313,0.057659655,0.03797216,0.065264051,0.03466659
402,0.077568877,0.061970523,0.062893547,0.039497276,0.043343293
403,0.116604665,0.026716103,0.036406281,0.028588477,0.042426121
404,0.123500976,0.040415965,0.056295454,0.017143157,0.059758612
405,0.10031473,0.05605105,0.076530068,0.016581527,0.070285886
406,0.063626543,0.064593132,0.088745807,0.018509133,0.072327464
407,0.078639156,0.051159207,0.062627726,0.039712928,0.046730459
408,0.071665752,0.066232732,0.047082301,0.049927966,0.029146504
409,0.061070745,0.07929692,0.044609249,0.052282449,0.029274934
410,0.063280304,0.056823165,0.063750992,0.048444986,0.044200404
411,0.07650245,0.076666136,0.070932262,0.059010353,0.058490301
412,0.078442822,0.091615867,0.067779687,0.066278392,0.063375116
413,0.063177861,0.087614806,0.053472159,0.065334077,0.055547136
414,0.069663795,0.067715233,0.065076027,0.056651127,0.042572787
415,0.067718811,0.067615791,0.057568923,0.057853069,0.038900256
416,0.061268847,0.0793401,0.0383862,0.066597335,0.04539096
417,0.076493214,0.058668742,0.050543364,0.076754126,0.073490422
418,0.079176227,0.057999284,0.05027072,0.069035159,0.08079375
419,0.072489909,0.069590451,0.04996252,0.057737308,0.08437295
420,0.054248044,0.089994968,0.066644192,0.060149243,0.104277536
421,0.053642076,0.081496288,0.071490901,0.063023959,0.099935795
422,0.057818038,0.074199327,0.075929525,0.064554489,0.082228863
423,0.06271423,0.080221821,0.08401335,0.063928793,0.050527688
424,0.071813115,0.075962205,0.067966552,0.065151995,0.073765603
425,0.07539534,0.071685761,0.050772507,0.064277381,0.074201404
426,0.073502077,0.068577911,0.037197331,0.06034271,0.052060597
427,0.070906403,0.069820516,0.059692527,0.043126767,0.060948225
428,0.070268565,0.078413849,0.066018126,0.043342412,0.058942984
429,0.073080766,0.088037515,0.05974372,0.051634245,0.054523789
430,0.085482211,0.086717295,0.037366116,0.05365618,0.063727275
431,0.078719429,0.084746762,0.041269499,0.066659178,0.073290563
432,0.067655282,0.080920385,0.049908359,0.07289874,0.0779769
433,0.059517897,0.073690209,0.053019235,0.059785984,0.073409977
434,0.058695652,0.077674598,0.050559458,0.061343987,0.085126206
435,0.063834202,0.078118582,0.052084882,0.060526946,0.081902639
436,0.074181119,0.073548312,0.058511217,0.055621604,0.059981425
437,0.06341249,0.081927541,0.051323737,0.066971496,0.067955671
438,0.063120131,0.084610351,0.056269471,0.067782438,0.07612322
439,0.068103448,0.082463441,0.067689291,0.062557644,0.083306003
440,0.064329135,0.07576572,0.074198152,0.062120903,0.085424185
441,0.067999623,0.073796307,0.071698803,0.057693326,0.089855696
442,0.07012812,0.072126422,0.067478912,0.057848675,0.091572969
443,0.062027638,0.066769418,0.067933,0.072808546,0.084674148
444,0.066213419,0.070433298,0.066033588,0.071178328,0.084881986
445,0.069455662,0.075382578,0.066030746,0.066555095,0.080173715
446,0.068589728,0.079906401,0.069165865,0.061781111,0.066942382
447,0.068535026,0.074544625,0.066607994,0.062478606,0.074064934
448,0.063133249,0.07427063,0.064912207,0.06196383,0.081695378
449,0.055908836,0.07749237,0.064009569,0.059450597,0.088692659
450,0.071405035,0.072810102,0.062695517,0.0492275,0.092880484
451,0.072346163,0.072137439,0.061111823,0.056911315,0.094656538
452,0.066977573,0.074222723,0.060027866,0.068936278,0.095949112
453,0.063247082,0.079042463,0.06093154,0.068547498,0.099328639
454,0.067460191,0.074696507,0.064242318,0.071407212,0.097337012
455,0.070423776,0.071922843,0.068491273,0.068951707,0.095490077
456,0.068001969,0.075901528,0.073509434,0.05582675,0.096176888
457,0.060993171,0.084799315,0.079690658,0.060125417,0.093222119
458,0.060675388,0.086356764,0.081513745,0.057427749,0.09129709
459,0.067328415,0.080927576,0.078813864,0.04775059,0.090708783
460,0.068900893,0.090854476,0.076371261,0.062278754,0.090128043
461,0.064621858,0.086721713,0.074593906,0.067322277,0.091554043
462,0.060601153,0.077053078,0.07372034,0.066810554,0.093359639
463,0.073802476,0.080849761,0.074910182,0.067597396,0.091533571
464,0.07823163,0.080304131,0.072234674,0.063721485,0.096626623
465,0.075879066,0.078423516,0.068639673,0.06060664,0.101585097
466,0.064819217,0.076737189,0.065896743,0.062560234,0.100949638
467,0.062122324,0.07904783,0.068603761,0.063494041,0.091377897
468,0.061440125,0.079430281,0.067363036,0.062139554,0.084993941
469,0.061787731,0.076529057,0.060180412,0.058074716,0.084484045
470,0.067776565,0.072789501,0.065044095,0.071027818,0.09945157
471,0.0703125,0.074658476,0.070597273,0.066815435,0.098673433
472,0.070533235,0.080799823,0.075425494,0.051779483,0.087637879
473,0.072313293,0.087247211,0.07237304,0.056394555,0.089570723
474,0.076180784,0.088992001,0.069155685,0.059605341,0.098004243
475,0.077256724,0.087471168,0.067848827,0.061375064,0.10380538
